topics significance commonGenes percentOfTopics percentOfReference
65 128.338082806125 121 80.6666666666667 39.1585760517799
100 111.962684404868 105 82.6771653543307 33.9805825242718
79 103.90692950802 130 54.8523206751055 42.0711974110032
66 101.272957302093 140 47.2972972972973 45.3074433656958
71 88.2003742304091 92 73.6 29.7734627831715
63 75.1405682073418 148 30.5154639175258 47.8964401294498
22 59.5679320202909 97 41.4529914529915 31.3915857605178
140 57.749678593078 88 45.5958549222798 28.4789644012945
18 57.2622540097302 73 2.02160066463584 23.6245954692557
49 54.8443069074792 87 43.5 28.1553398058252
