topics significance commonGenes percentOfTopics percentOfReference
134 13.1852186203434 20 5.43478260869565 62.5
8 12.7477385773657 14 11.864406779661 43.75
9 9.62999887235955 14 7.14285714285714 43.75
35 9.47865364135788 14 6.96517412935323 43.75
63 8.4895524727278 18 3.71134020618557 56.25
11 6.5654522735816 10 7.93650793650794 31.25
155 3.3543631986302 7 6.48148148148148 21.875
1 3.00045472173019 16 1.91387559808612 50
53 2.64151492956742 8 4.12371134020619 25
43 2.28209427810227 4 12.9032258064516 12.5
