topics significance commonGenes percentOfTopics percentOfReference
15 232.430944081943 146 91.8238993710692 81.5642458100559
153 213.477173857332 157 67.381974248927 87.7094972067039
99 101.93368376065 115 37.3376623376623 64.2458100558659
98 86.2093688203063 121 25.7446808510638 67.5977653631285
46 84.1198341912117 90 44.7761194029851 50.2793296089386
156 83.9708607355486 102 34.8122866894198 56.9832402234637
55 80.1545219732008 93 38.75 51.9553072625698
75 76.0497670371723 120 21.8978102189781 67.0391061452514
124 70.8481464933553 95 30.6451612903226 53.072625698324
159 68.5998930260636 74 46.5408805031447 41.340782122905
